demo_id,name,source_id,date,robot,task,environment,objects,autonomy_claim,evaluation_type,exact_wording,task_duration,runtime_window,throughput,success_rate,quality_metric,attempt_count,robot_count,human_intervention,adaptation,robot_data,editing_or_cuts,customer_site,external_corroboration,independent_verification,supported_claim,unsupported_claim,open_questions
DYN-D001,DYNA-1 24-hour napkin run,DYN-S003,2025-06-24,DYNA-1 stationary bimanual system,Continuous napkin folding,Internal or company-controlled setup,Napkins,24 hours autonomous; zero interventions,Company-run continuous benchmark,24-hour run; 850+ napkins; 99.4%; zero interventions,24 hours,24 hours,850+ napkins; ~60% stated human speed,99.4%,98% grade ≥3; 75% grade ≥4 under five-point rubric,Unknown,One disclosed bimanual station,Company claims none during run,Training recipe and runtime data; quantities undisclosed,Unknown,Page presents excerpts/timelapse; full unedited log not public,No,None,No,A company-run 24-hour test occurred with reported aggregate metrics,Fleet-wide 24/7 autonomy; independent reliability; production safety,Attempt denominator; material loading; resets; rejects; hardware faults; supervision
DYN-D002,DYNA-1 unseen restaurant site,DYN-S003,2025-06-24,DYNA-1 stationary bimanual system,Napkin folding,Unseen restaurant/customer environment,Napkins,Zero-shot initial task completion; later continuous operation,Company-reported customer-site demonstration,Not transcribed,Unknown,Unknown,Unknown,Unknown,Customer production quality mentioned,Unknown,Unknown,Unknown,No site data initially; small amount of on-site learning later,Site-specific data later; amount unknown,Edited video or selected examples,Yes,None,No,Company reports first-site task transfer and later adaptation,Out-of-box production parity; zero adaptation cost,Zero-shot trial count; quality/throughput drop; engineering hours; intervention rate
DYN-D003,DYNA-1i 30-minute seen-office benchmark,DYN-S004,2025-10-15,DYNA-1i stationary bimanual system,Laundry pick-fold-stack,Seen office evaluation condition,Crumpled shirts,Continuous autonomous folding in the seen office condition,Company-run quantitative benchmark,Seen (Office): 30 min; 22 shirts; about 40/hr; average quality about grade 3+,30-minute continuous window,30 minutes,22 shirts; reported as about 40 shirts/hour,No binary success rate; 22 shirts folded consecutively without failure,Average quality about grade 3+,One disclosed 30-minute trial; repeat count Unknown,One robot in the disclosed window; repeated-station count Unknown,Company says shirts were folded consecutively without failure; supervision and reset policy Unknown,Tens of hours of office post-training across a handful of stations,Tens of hours; exact total unknown,Aggregate table and selected media; full continuous log not public,No,None,No,One company-run 30-minute seen-office benchmark produced quantified throughput and quality,Repeatable 40 shirts/hour; independent reliability; confidence-bounded quality,Repeats; confidence interval; shirt distribution; exact quality rubric; full failures; robot count
DYN-D004,DYNA-1i CoRL exhibition,DYN-S004,2025-10-15,DYNA-1i on new Dynasaur robot,Laundry folding with disturbances,CoRL exhibition hall during three days of exhibition,Attendee-provided shirts and disturbed layouts,Same model; recovery from disturbances,Public event demonstration,same model on a brand new Dynasaur robot during exhibition hours for 3 days,Three exhibition days,Three exhibition days; active runtime Unknown,Unknown,Unknown,Task completion claimed,Unknown,One new Dynasaur described,Staff present; interventions and resets not reported,New hardware setup; no retraining claimed,Existing post-training data,Linked edited video; no continuous public log,No,Public Event,No,Public-facing robustness demonstrations under real disturbances,Three-day autonomous continuous operation; quantified reliability,Total active hours; failure count; hardware calibration; manual resets; third-party records
DYN-D005,DYNA-1 pre-training stress test,DYN-S005,2025-11-20,DYNA-1 base and fine-tuned models,Laundry; package sorting; cup stacking; celery chopping; breakfast; tablemat,Company test environments,Task-specific objects,Zero-shot for some base tasks; fine-tuned for stress-test tasks,Company demonstration / limited protocol,Not transcribed,Unknown,Unknown,Unknown,Roughly 100% on selected fine-tuned tasks,Undefined,Unknown,Unknown,Unknown,As little as one hour of demonstrations for an unspecified subset,One hour claimed; allocation unknown,Selected media; no full logs,No,None,No,Company reports selected zero-shot and low-data adaptation examples,General one-hour adaptation to any task; standardized 100% reliability,Which tasks; trials; success definitions; base data; contamination
DYN-D006,Dyna-2 14-task post-training suite,DYN-S006,2026-08-15,Three embodiments: YAM parallel jaws; WUJI-2 hands; semi-humanoid prototype,Fourteen manipulation and language tasks,Internal evaluation stations,Everyday objects; rope; clothes; lockbox; food; containers,Autonomous rollouts after task-specific post-training,Company-run physical evaluation,14 tasks; three embodiments; at most 10 hours robot data per task,Task dependent,Task dependent,Not reported as production throughput,Mean normalized score 20/28/45/53% by pre-training rung,Native per-task metrics normalized to attainable maximum,10 trials per task; 12 for language task,Three embodiment classes; physical unit count Unknown,Unknown,At most 10 hours robot data per task; no human-robot alignment or co-training,Task-specific demonstrations,Example rollouts; evaluation aggregate disclosed,No,None,No,Matched post-training evaluation shows correlation with pre-training scale,Zero-shot physical task execution; commercial readiness,Seeds; confidence intervals; task selection; reset labor; full failure taxonomy
DYN-D007,Dyna-2 bottle-cap untwisting,DYN-S006,2026-08-15,Dual YAM arms with two WUJI-2 20-DOF hands,Bottle-cap untwisting,Internal dexterous-hand setup,Bottle and cap,Autonomous after post-training,Company-run physical evaluation,roughly 10 minutes in technical report; 13 minutes in corrected press release,Unknown,Unknown,Unknown,10/10/40/50% by increasing pre-training rung,Binary success,10 trials per checkpoint under general protocol,One dual-arm dexterous-hand setup,Unknown,Technical report says roughly 10 minutes; corrected press release says 13 minutes,Task-specific robot demonstrations; exact accepted versus collected duration Unknown,Example rollout; full attempt footage not public,No,None,No,Low post-training data can produce nonzero physical performance and improve with pre-training scale,Reliable bottle opening; embodiment gap solved generally,10-versus-13-minute wording; accepted versus collected duration; bottle variation; failure modes; seed sensitivity
DYN-D008,Dyna-2 customer-site A/B,DYN-S006,2026-08-15,Dyna-1 and Dyna-2 task systems,Unspecified production tasks,Unspecified real customer sites,Unspecified,Zero site-data deployment after matched task post-training,Company-run customer-site evaluation,87% versus 46% production pass,Unknown,Unknown,Unknown,Dyna-1 46%; Dyna-2 87% production pass,Customer acceptance criteria,Unknown,Unknown,Graded by operators not involved in model development,No site-specific fine-tuning; matched task post-training,Same task datasets for both models,No full run archive,Yes,None,No,Dyna-2 improved customer-site generalization under company-reported protocol,Third-party verified 87%; all-customer generalization; zero engineering,Sites; tasks; attempts; operator employer; acceptance criteria; confidence intervals
DYN-D009,Monster Laundry Sophy Swiftfold,DYN-S013,2025-10-14,Dyna laundry robot,Commercial folding,Named live laundromat,Garments/towels from 10 clients,Continuous operation integrated into attendants' workflow,Dyna-hosted named-customer testimonial,"200,000+ items; 10 clients; three months; 99% acceptance",Three-month reporting window,Three-month case-study period; operating hours Unknown,"200,000+ items over three months",Unknown,99% quality acceptance,Unknown,One robot described,Attendants transfer loads and retrieve stacks,Small customized dataset; within-days integration claimed,Customer-specific data; amount unknown,Dyna-hosted case study and timelapse,Yes,Named Customer,No,Named customer reports substantial production use and accepted output,No-human operation; independent audited throughput; zero maintenance,Active hours; rejects; downtime; service visits; exact item mix; subscription economics
DYN-D010,Homepage workflow claims,DYN-S001,Undated,DYNA-SAUR and unspecified deployed systems,Laundry end-to-end; bus-tub loading; factory packing,Unspecified sites,Laundry; dishes; factory SKUs,Real-time recovery and 24/7 autonomous operation,Marketing claims without disclosed protocol,100/180/200 items or units per hour; 24/7 autonomous operation,Unknown,Unknown,100 items/hr laundry; 180 food items/hr; 200 factory units/hr,Unknown,≥98% laundry delivery-ready; ±2mm factory placement,Unknown,Unknown,No oversight claimed generally,Homepage says learn in hours and deploy in minutes; engineering and robot-data cost Unknown,Unknown,Marketing clips; cuts and selection unknown,Unknown,None,No,These metrics are current company product claims,Standardized cross-site performance; customer-verified fleet reliability,Exact task protocol; named sites; robot count; runtime windows; attempt denominators; interventions; maintenance; safety certification
