claim_id,section_id,claim_text,source_id,source_type,evidence_strength,scope,adaptation_cost,intervention_status,unknowns,last_verified,recommended_revision,priority
C001,top,"Sunday 的研究价值集中在机器人本体、示范接口、数据清洗、策略学习、失败恢复与部署迭代构成的完整系统闭环",O1;O2;O4;O5,report_inference,medium,"对公开技术叙事的综合判断",not_applicable,not_applicable,"各组件真实集成程度、闭环周期、内部依赖关系",2026-07-18,"改为：公开材料显示 Sunday 以完整系统闭环为技术叙事；其工程效率仍待外部验证",P1
C002,top,"现有结果已显著超出单次演示的证据强度",O5,report_inference,medium,"主要指 ACT-2 折衣评测",not_applicable,"公司执行和评分；是否存在人工重置未完全披露","不可外推到全部家庭任务",2026-07-18,"限定为：ACT-2 公开了比单次剪辑 demo 更完整的折衣评测统计",P0
C003,summary,"家庭机器人的主要约束来自高质量真实操作数据",O2;O4,company_official,medium,"Sunday 的问题定义，不是行业共识结论",not_applicable,not_applicable,"与硬件、规划、安全和成本瓶颈的定量对照",2026-07-18,"加前缀：Sunday 认为……",P0
C004,summary,"Memory Developer 使用 Skill Capture Glove 在真实家庭示范，数据经过 QA 与 Skill Transform 后进入训练和部署闭环",O2;O4,company_official,medium,"公司公开的数据流程",not_disclosed,not_applicable,"数据规模、留存率、QA 一致性、训练配方和闭环周期",2026-07-18,"保留为公司公开流程，并拆分已公开步骤与报告推断的训练阶段",P1
C005,summary,"Memo 采用轮式双臂、升降躯干、专用手和柔顺控制",O1;O2,company_official,medium,"Memo 当前公开本体",not_applicable,not_applicable,"质量、自由度、执行器、传感器、升降行程和控制频率",2026-07-18,"补充规格表来源；未披露参数明确标 unknown",P1
C006,summary,"Tony Zhao 与 Cheng Chi 的公开研究覆盖 ALOHA、ACT、Mobile ALOHA、Diffusion Policy 与 UMI",O3;P1;P2;P3;P4,mixed,high,"作者/创始人研究谱系",not_applicable,not_applicable,"公司页未给出完整书目；团队贡献不应简化为单人所有",2026-07-18,"逐篇列出完整作者，表述为参与/共同作者而非个人独占成果",P1
C007,summary,"ACT-2 在 785 次自主折衣尝试中达到 99.1% 成功率",O5,company_official_self_report,medium_high,"9 类衣物；未见房间；声明分布；公司执行与评分",zero_per_home_as_defined,"页面称 autonomous；人工重置、远程监控和安全接管规则未完整披露","独立复现、trial manifest、失败视频完整性、置信区间方法",2026-07-18,"改为：Sunday 报告 ACT-2 在其内部评测的 785 次自主尝试中成功 778 次（99.1%±0.3% SE）",P0
C008,summary,"ACT-2 的 785 次评测使用同一模型 checkpoint 和系统配置",O5,company_official_self_report,medium_high,"ACT-2 声明的折衣评测分布",zero_per_home_as_defined,"干预和重置规则未完整披露","代码哈希、权重哈希、运行日志和配置清单",2026-07-18,"保留公司声明属性，并要求发布 checkpoint/config 哈希",P0
C009,summary,"ACT-2 每个新家庭的适配成本为零",O5,company_official_self_report,medium,"仅指无家庭/衣物专属部署数据、示范或后训练",zero_per_home_as_defined,"未披露地图、初始设置、机器人安装、人工重置和监控是否计入","现场地图/标定/摆位/联网/故障处理是否为零",2026-07-18,"改为：Sunday 定义的零每家庭适配是无目标家庭或衣物专属数据、示范与后训练；其他现场成本尚不清楚",P0
C010,summary,"ACT-2 成功折衣的中位完成时间为 2 分 13 秒",O5,company_official_self_report,medium_high,"只统计 778 次成功折叠；从取衣开始到加入衣堆；含自主重试和恢复",zero_per_home_as_defined,"公司称 autonomous；外部介入规则未完整披露","失败尝试耗时、超时阈值、重置时间和端到端家务周期",2026-07-18,"必须紧邻注明只统计成功尝试，均值为 2:19，并包含自主重试/恢复",P0
C011,macro,"Macro Data Refinement 借用《Severance》的虚构部门名称并对应 Sunday 的数据规模化叙事",T2,report_inference,low,"视频缩略图与文化语义解释",not_applicable,not_applicable,"缩略图作者意图、是否由 Sunday 授意、视频赞助关系",2026-07-18,"改为明确的视觉解读，不写成创作者已证实意图",P2
C012,macro,"Demo house 的视觉设计有意降低工业机器人的距离感并塑造温和家居产品形象",T2,report_inference,low,"公开视频布景和品牌视觉",not_applicable,not_applicable,"设计团队意图、场地是否公司样板间、素材选择偏差",2026-07-18,"改为：该视觉设计可能产生……效果",P2
C013,company,"Sunday Robotics 由 Tony Zhao 与 Cheng Chi 创立",O3,company_official,high,"公司创始人身份",not_applicable,not_applicable,"法人沿革和精确成立日",2026-07-18,"保留并在正文直接引用 O3",P1
C014,company,"Sunday 的创立年份为 2024",T1,third_party,low,"第三方公司档案",not_applicable,not_applicable,"当前正文没有直接引用；付费墙条目缺作者和精确日期；公司注册记录未核对",2026-07-18,"在获得可审计来源前改为约 2024 年或删除该数字",P0
C015,company,"Sunday 于 2026 年 3 月宣布 1.65 亿美元 B 轮融资",O6,company_official,medium_high,"公司融资公告",not_applicable,not_applicable,"交易文件、币种、是否含既有/新增资本及第三方交叉验证",2026-07-18,"写成公司宣布，并增加投资方或权威交易来源交叉验证",P1
C016,company,"Sunday 的估值为 11.5 亿美元",O6,company_official,medium,"融资公告中的公司口径",not_applicable,not_applicable,"pre-money 或 post-money、交易文件和第三方交叉验证",2026-07-18,"写成公司在 B 轮公告中披露/媒体报道的估值，并注明口径",P0
C017,company,"Sunday 计划在 2026 年秋季启动家庭 beta",O1;O6,company_official,medium_high,"计划而非已完成事件；首页写 late 2026",not_applicable,not_applicable,"实际启动日期、家庭数量、地域、收费和支持方式",2026-07-18,"统一为官网可核验的 late 2026；若保留秋季需给出精确来源",P0
C018,claims,"Sunday 已进入百人规模",O6;T1,mixed,low,"团队规模时点不明",not_applicable,not_applicable,"精确人数、全职/合同工口径、发布日期和正文直接引用",2026-07-18,"在取得带日期的可访问来源前改为公司正在扩张团队，或删除百人数字",P0
C019,lineage,"ACT 论文在 6 个真实任务上报告 80%–90% 成功率，每项任务约 10 分钟示范",P2,research_paper,high,"论文所定义的 6 个真实双臂任务和其实验设置",paper_specific,per_paper_protocol,"各任务样本数、置信区间、基线差异和 10 分钟是否对所有任务完全一致",2026-07-18,"增加论文表格/章节定位并按任务列出结果，避免概括成通用机器人性能",P1
C020,diffusion,"Diffusion Policy 的 IJRR 扩展版在 4 类 benchmark 的 15 个任务上平均提升 46.9%",P1,research_paper,high,"论文选定的模拟与真实机器人 benchmark；相对论文基线",paper_specific,per_paper_protocol,"46.9% 的精确定义、聚合方式、对照集合和 IJRR 最终版链接",2026-07-18,"引用最终论文和对应表格，写清相对何种基线、何种指标的平均提升",P0
C021,diffusion,"Diffusion Policy 适合表达多模态、高维、连续动作序列并使用滚动时域控制",P1,research_paper,high,"论文方法与评测任务",paper_specific,per_paper_protocol,"计算延迟、任务外泛化和与 Sunday ACT 系列的实际关系",2026-07-18,"保留方法层结论；不要暗示 ACT-1/2 必然采用同一具体架构",P1
C022,system,"Sunday 官方称数据会经过任务专属评分和多轮 QA",O2,company_official,medium,"公司内部数据运营流程",not_disclosed,human_review_implied,"评分规程、标注员一致性、淘汰率、审计日志",2026-07-18,"写成官方流程声明，并列出尚未披露的 QA 指标",P1
C023,system,"少量内部后训练数据能够提升未见环境性能",O5,company_official_self_report,low_medium,"ACT-2 页面中的后训练叙事；正文未给出具体样本数或对照",not_disclosed,not_disclosed,"样本量、消融、迁移范围、模型选择和失败挖掘周期",2026-07-18,"若无量化证据，改为公司声称其后训练闭环可提升泛化；不要写少量为事实",P0
C024,glove,"Skill Capture Glove 与 Memo 手共享形状和传感布局",O2,company_official,medium,"当前公开手套和机器人手",not_applicable,not_applicable,"对应关节、传感器一一映射、误差和版本差异",2026-07-18,"保留公司声明，补结构示意和版本号",P1
C025,glove,"手套采集摄像头、关节和力信号",O2;T2,company_official,medium,"公开的手套能力",not_applicable,human_demonstration,"传感器型号、量程、采样率、时钟同步、标定误差和剪切力能力",2026-07-18,"逐模态给出直接来源；第三方视频需加时间戳",P1
C026,glove,"手套的两个摄像头分别提供全局上下文和局部接触视角",O2;T2,report_inference,low_medium,"基于公开视频中相机位置的功能解释",not_applicable,human_demonstration,"视场角、同步、是否用于立体视觉、模型实际输入",2026-07-18,"改为可能/推测用途，避免写成已公开系统设计",P0
