claim_id,topic,claim_text,source_id,source_type,publication_date,evidence_strength,scope,evaluation_protocol,evaluation_type,exact_wording,customer_site_status,attempt_denominator,runtime_window,robot_count,adaptation_cost,robot_data_requirement,human_intervention,external_corroboration,independent_verification,unknowns,recommended_wording,claim_importance,verification_risk,fix_priority
DYN-C001,Company thesis,Dyna argues that scarce high-fidelity real-world data and the deployment feedback loop are central robotics bottlenecks.,DYN-S010,Official Company / Marketing,2025-03-25,Moderate,Company strategy,No experiment; founder statement,Official company statement,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Task-specific production data is part of the proposed loop,Not applicable,None,No,Comparative evidence against simulation-first or model-only strategies,Dyna states that real-world data scarcity and the deployment loop are core bottlenecks.,High,Medium,P1
DYN-C002,Commercial strategy,Dyna initially targets repetitive stationary commercial tasks to create value and collect production data before general-purpose capability.,DYN-S010,Official Company / Marketing,2025-03-25,Moderate,Folding and food preparation on stationary arms,Company strategy announcement,Official company statement,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Unknown by task,Expected task-specific data,Unknown,None,No,Unit economics; customer count; transfer between tasks,Dyna's announced strategy begins with narrow stationary commercial tasks and uses deployment as a data source.,High,Medium,P1
DYN-C003,DYNA-1 reliability,Dyna reports a 24-hour autonomous napkin-folding run.,DYN-S003,Official Company Technical Post,2025-06-24,Moderate,One napkin-folding setup,Company internal continuous run; video excerpts available,Company-run quantitative evaluation,24-hour run,Not applicable,Unknown exact attempts; 850+ completed napkins reported,24 hours,One disclosed bimanual station; exact hardware count Unknown,Training and setup cost undisclosed,Undisclosed internal robot data,Company reports zero interventions,None,No,Reset policy; stop criteria; complete unedited log; hardware faults,"In a company-run napkin-folding test, DYNA-1 reportedly operated for 24 hours.",High,High,P1
DYN-C004,DYNA-1 throughput,Dyna reports more than 850 napkins folded during the 24-hour run.,DYN-S003,Official Company Technical Post,2025-06-24,Moderate,One task and setup,Internal run; aggregate count,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,24 hours,One disclosed bimanual station; exact hardware count Unknown,Unknown,Unknown,Zero interventions claimed,None,No,Exact attempts; rejects; rework; idle time,Dyna reports 850+ napkins folded in its internal 24-hour run.,Low,Medium,P2
DYN-C005,DYNA-1 success,Dyna reports 99.4% task success in the 24-hour napkin run.,DYN-S003,Official Company Technical Post,2025-06-24,Moderate,Napkin-fold completion,Internal metric; success definition only partially described,Company-run quantitative evaluation,99.4% task success across a 24-hour autonomous run,Not applicable,Unknown,24 hours,One disclosed bimanual station; exact hardware count Unknown,Unknown,Unknown,Zero interventions claimed,None,No,Denominator; failure taxonomy; whether retries count; independent observer,Dyna reports 99.4% success for its internal 24-hour napkin-folding run; this is not independently verified.,High,High,P0
DYN-C006,DYNA-1 autonomy,Dyna reports zero human interventions during the 24-hour run.,DYN-S003,Official Company Technical Post,2025-06-24,Moderate,Single internal run,Continuous company test,Company-run quantitative evaluation,Zero interventions,Not applicable,Not applicable,24 hours,One disclosed bimanual station; exact hardware count Unknown,Unknown,Unknown,Claimed none during run,None,No,Loading/unloading labor; safety supervision; off-camera handling,The company says the run required no interventions; surrounding material handling and supervision are undisclosed.,High,High,P0
DYN-C007,DYNA-1 speed,Dyna reports sustained throughput at roughly 60% of human folding speed.,DYN-S003,Official Company Technical Post,2025-06-24,Weak,Napkin folding,Internal comparison; human baseline protocol undisclosed,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,24 hours,One disclosed bimanual station; exact hardware count Unknown,Unknown,Unknown,Unknown,None,No,Human cohort; quality-matched baseline; breaks and material supply,Dyna reports roughly 60% of an unspecified human folding-speed baseline.,Low,High,P2
DYN-C008,Reward model,Dyna calls its reward model the first scalable foundation reward model for robotics and says it estimates task progress.,DYN-S003,Official Company Technical Post,2025-06-24,Weak,Internal dexterity tasks,Company qualitative comparison; no public benchmark table,Official architecture or method disclosure,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Unknown,Deployment data used in RM loop,RM supports autonomous exploration and recovery,None,No,Architecture; training corpus; baselines; calibration; false positives,Dyna describes a foundation reward model used for progress estimation; priority and superiority claims remain unverified.,High,High,P1
DYN-C009,Deployment loop,Dyna says continuous streams are automatically segmented and labeled for progress and subtasks.,DYN-S003,Official Company Technical Post,2025-06-24,Weak,Internal continuous deployment data,No public segmentation benchmark,Official architecture or method disclosure,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Infrastructure cost unknown,Continuous robot data required,Automation level undisclosed,None,No,Boundary accuracy; label quality; human QA; failure cases,"Dyna reports an automated segmentation and progress-labeling pipeline, without public accuracy metrics.",High,High,P1
DYN-C010,Generalization,DYNA-1 performed napkin folding in an unseen customer environment before environment-specific training.,DYN-S003,Official Company Technical Post,2025-06-24,Weak,One customer task/site,Company case description and video,Company-run quantitative evaluation,Not transcribed,Company-described customer site,Not applicable,Not applicable,Not applicable,Zero-shot first; some on-site learning later,No site data before first deployment claimed,Unknown,None,No,Trial count; zero-shot quality and throughput; environmental delta,"Dyna reports a zero-shot customer-site napkin-folding demonstration, with quantitative performance undisclosed.",High,High,P0
