source_id,current_ref_id,current_display_order,source_type,current_label,title,author_or_org,published_or_updated,url,accessed,last_link_check,link_status,body_citation_count,body_sections,duplicate_of,metadata_gaps,label_audit,recommended_action
O1,ref-home,1,company_official,O,Sunday Robotics homepage,Sunday Inc,undated,https://www.sunday.ai/,2026-07-18,2026-07-18,reachable,4,"summary;embodiment;safety",,"No stable publication or update date; no named author",Correct as official company source,"Add organization author, access date, page snapshot date, and claim-level anchors"
O2,ref-tech,2,company_official,O,Sunday Robotics Technology,Sunday Inc,undated,https://www.sunday.ai/technology,2026-07-18,2026-07-18,reachable,3,"summary;system;glove",,"No stable publication or update date; no named author",Correct as official company source,"Add organization author, access date, and archived snapshot"
O3,ref-company,3,company_official,O,Sunday Robotics Company,Sunday Inc,undated,https://www.sunday.ai/company,2026-07-18,2026-07-18,reachable,1,summary,,”No stable publication or update date; no named author”,Correct as official company source,"Cite this source directly in lineage and separate founder bios from report synthesis"
O4,ref-act1,4,company_official,O,ACT-1: A Robot Foundation Model Trained on Zero Robot Data,Sunday Team,2025-11-19,https://www.sunday.ai/blog/no-robot-data,2026-07-18,2026-07-18,reachable,5,"summary;company;transparent;generalization;act",,"No DOI, paper, model card, dataset, or protocol artifact",Correct as official self-report; not a paper,"Retain official label and state that zero robot data means zero robot teleoperation trajectories"
O5,ref-act2,5,company_official,O,ACT-2 Preview: Generalizing Reliability,Sunday Team,2026-07-17,https://www.sunday.ai/blog/act-2-preview,2026-07-18,2026-07-18,reachable,6,"summary;deformable;recovery;generalization;act",,"No independent evaluator, downloadable trial manifest, model card, or immutable evaluation artifact",Correct as official self-report; not independent validation,"Add exact date, trial definition, evaluator ownership, and archive all linked evaluation videos"
O6,ref-seriesb,6,company_official,O,Sunday's Series B: No More Demos,Sunday Team,2026-03-12,https://www.sunday.ai/blog/series-b,2026-07-18,2026-07-18,reachable,1,company,,”Named investors and financing details are not captured in the HTML reference metadata”,Correct as official financing announcement,"Add author/date and corroborate valuation and headcount with a transaction or reputable third-party source"
O7,ref-beta,7,company_official,O,Sunday Beta Program,Sunday Inc,undated,https://www.sunday.ai/beta-program,2026-07-18,2026-07-18,reachable,1,safety,,”No stable publication/update date; privacy and safety architecture details are sparse”,Correct as official program page,"Use for program statements only; do not treat marketing safety answers as certification evidence"
P1,ref-dp,8,research_paper,P,Diffusion Policy: Visuomotor Policy Learning via Action Diffusion,"Cheng Chi; Zhenjia Xu; Siyuan Feng; Eric Cousineau; Yilun Du; Benjamin Burchfiel; Russ Tedrake; Shuran Song",2023-03-07,https://arxiv.org/abs/2303.04137,2026-07-18,2026-07-18,reachable,2,"lineage;diffusion",,"HTML omits authors, submission date, venue version, and DOI",Broad paper label is correct,"Add authors, version/venue, DOI or final publication link, and distinguish arXiv from peer-reviewed version"
P2,ref-act-paper,9,research_paper,P,Learning Fine-Grained Bimanual Manipulation with Low-Cost Hardware,"Tony Z. Zhao; Vikash Kumar; Sergey Levine; Chelsea Finn",2023-04-23,https://arxiv.org/abs/2304.13705,2026-07-18,2026-07-18,reachable,1,lineage,,"HTML omits authors, submission date, venue, and version",Broad paper label is correct,"Add authors, version/venue, and exact table or section for success-rate claims"
P3,ref-mobile,10,research_paper,P,Mobile ALOHA: Learning Bimanual Mobile Manipulation with Low-Cost Whole-Body Teleoperation,"Zipeng Fu; Tony Z. Zhao; Chelsea Finn",2024-01-04,https://arxiv.org/abs/2401.02117,2026-07-18,2026-07-18,reachable,1,lineage,,"HTML shortens the title and omits authors, date, venue, and version",Broad paper label is correct,"Use full title and add authors, version/venue, and project page if relied upon"
