source_id,title,organization,author,source_type,publication_date,url,accessed_date,primary_or_secondary,reliability_notes,topics,used_for_claims
DYN-S001,DYNA Robotics home,Dyna Robotics,Dyna Robotics,Official Company / Marketing,Undated,https://www.dyna.co/,2026-08-18,Primary,"Current corporate homepage; metrics, system labels, and deployment language are company claims without disclosed audit files. Current 2026-08-18 page supports learn-in-hours, deploy-in-minutes, one-site-to-hundreds, 24/7, recovery, and workflow metrics; it does not expose a dated archive snapshot.",commercial deployment;system architecture;DYNA-2;DYNA-SAUR;throughput;autonomy,"homepage positioning;system stack;deployment metrics;24/7 claim;learn-in-hours;deploy-in-minutes;scale-to-hundreds"
DYN-S002,Research index,Dyna Robotics,Dyna Robotics,Official Research,2026-08-17,https://www.dyna.co/research,2026-08-18,Primary,"Official index establishes publication sequence and exact display dates; not independent validation.",research timeline;DYNA-1;DYNA-1i;DYNA-2;infrastructure,"research chronology;publication dates"
DYN-S003,Dynamism v1 (DYNA-1) Model,Dyna Robotics,Dyna Team,Official Company Technical Post,2025-06-24,https://www.dyna.co/research/dyna-1,2026-08-18,Primary,"Company-authored technical post whose page metadata says Category: Company; evaluation is internal and protocol details are incomplete.",DYNA-1;reward model;napkin folding;recovery;generalization,"24-hour run;99.4%;850+ napkins;reward-model loop;customer deployment"
DYN-S004,Open-World Dexterity and Live Demos around the World,Dyna Robotics,Dyna Team,Official Company Technical Post,2025-10-15,https://www.dyna.co/research/open-world-dexterity,2026-08-19,Primary,"Company-authored technical post whose page metadata says Category: Company. Research index shows 2025-10-15 while the current article page displays December 2025; metadata discrepancy rechecked 2026-08-19 and retained without causal interpretation. The two 30-minute benchmark rows are internal company measurements with no disclosed repeats.",DYNA-1i;open-world dexterity;generalization;live demos,"tens-of-hours post-training;30-minute seen benchmark;30-minute unseen benchmark;office stations;conference demo"
DYN-S005,DYNA-1 Pre-Training: Zero-Shot Dexterity Is Here,Dyna Robotics,Dyna Team,Official Company Technical Post,2025-11-20,https://www.dyna.co/research/pre-training,2026-08-18,Primary,"Short company technical update whose page metadata says Category: Company; protocol, trial counts, and benchmark details remain limited.",DYNA-1;pre-training;zero-shot;fine-tuning,"zero-shot base model;one-hour demonstrations;roughly 100% claim"
DYN-S006,Dyna-2: A 1-Million-Hour Scaling Law for World-Action Models,Dyna Robotics,Dyna Robotics,Official Research,2026-08-15,https://www.dyna.co/dyna-2,2026-08-18,Primary,"Substantial company technical report with controlled ablations and protocol details; no peer review, released weights, dataset, or independent replication as of cutoff.",DYNA-2;WAM;scaling law;human video;cross-embodiment;post-training,"1M hours;scaling ladder;39-task offline;14-task on-robot;WAM vs VLA;one-step video"
DYN-S007,"Training Dyna-2 at million-hour scale, repeatably",Dyna Robotics,Dyna Robotics,Official Research,2026-08-17,https://www.dyna.co/research/dyna-2-infrastructure,2026-08-18,Primary,"Detailed first-party engineering account with before/after metrics; raw logs, cost data, and independent reproduction are not public.",infrastructure;MCAP;Airflow;manifest;NVMe;optimizer;resilience,"storage;read speed;ingestion;manifest;cache;GPU utilization;optimizer;restart"
DYN-S008,Company,Dyna Robotics,Dyna Robotics,Official Company / Marketing,Undated,https://www.dyna.co/company,2026-08-18,Primary,"Official mission and team-positioning page; useful for company thesis, not for performance verification.",company thesis;physical economy;full stack,"physical economy;vertical stack;mission"
DYN-S009,DYNA Robotics Closes $120M Series A,Dyna Robotics,Lindon Gao,Official Company / Marketing,2025-09-15,https://www.dyna.co/news/series-a,2026-08-18,Primary,"Official funding announcement and strategy essay; financing amount is corroborated by Bloomberg, operational claims remain first-party.",funding;investors;commercial strategy;deployment loop,"Series A;investors;one-year age;infrastructure plan"
DYN-S010,Dyna Robotics Raises $23.5 Million to Commercialize Embodied AI,Dyna Robotics,Dyna Robotics,Official Company / Marketing,2025-03-25,https://www.prnewswire.com/news-releases/dyna-robotics-raises-23-5-million-to-commercialize-embodied-ai-with-low-cost-robots-302410263.html,2026-08-18,Primary,"Company-issued press release distributed by PR Newswire; reliable for what was announced, not independent proof of technical claims.",seed funding;founders;stationary arms;company thesis,"$23.5M seed;founders;task-first commercialization;data scarcity thesis"
